507013689	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR DE TECNOLOGIA E GESTÃO DE LEIRIA	26-05-2004	
508820111	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR NÁUTICA INFANTE D.HENRIQUE	18-08-2008	
600021424	INSTITUTOS PÚBLICOS	ESTÁDIO UNIVERSITÁRIO DE LISBOA		
505445190	INSTITUTOS PÚBLICOS	FACULDADE DE ENGENHARIA DE RECURSOS NATURAIS DA UNIVERSIDADE DO ALGARVE	28-03-1979	
600083861	INSTITUTOS PÚBLICOS	FACULDADE DE PSICOLOGIA DA UNIVERSIDADE DE LISBOA		
508459125	INSTITUTOS PÚBLICOS	FCM - FUNDAÇÃO PARA AS COMUNICAÇÕES MÓVEIS	11-09-2008	31-12-2010
503183504	INSTITUTOS PÚBLICOS	FUNDAÇÃO DA FACULDADE DE CIÊNCIAS DA UNIVERSIDADE DE LISBOA	30/12/1992	
503731552	INSTITUTOS PÚBLICOS	FUNDAÇÃO DA FACULDADE DE CIÊNCIAS E TECNOLOGIA DA UNIVERSIDADE NOVA DE LISBOA		
502447699	INSTITUTOS PÚBLICOS	FUNDAÇÃO DA UNIVERSIDADE DE LISBOA	27/07/1988	
503124869	INSTITUTOS PÚBLICOS	FUNDAÇÃO DAS UNIVERSIDADES PORTUGUESAS	10/07/1993	
501510184	INSTITUTOS PÚBLICOS	FUNDAÇÃO INSTITUTO SUPERIOR DAS CIÊNCIAS DO TRABALHO E DA EMPRESA - IUL	15-12-1972	
501510184	INSTITUTOS PÚBLICOS	FUNDAÇÃO INSTITUTO SUPERIOR DE CIÊNCIAS DO TRABALHO E DA EMPRESA	01/02/2007	
504070096	INSTITUTOS PÚBLICOS	FUNDAÇÃO P/DESENVOLVIMENTO CIÊNCIAS ECONÓMICAS, FINANCEIRAS E EMPRESARIAIS		
503904040	INSTITUTOS PÚBLICOS	FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA	26-08-1996	
502795417	INSTITUTOS PÚBLICOS	FUNDAÇÃO PARA A DIVULGAÇÃO DAS TECNOLOGIAS DE INFORMAÇÃO	29/10/1991	
503646601	INSTITUTOS PÚBLICOS	FUNDAÇÃO PARA O DESENVOLVIMENTO DA UNIVERSIDADE DO ALGARVE		
600012875	INSTITUTOS PÚBLICOS	FUNDO DE ESTABILIZAÇÃO ADUANEIRO	28-06-1982	
600056791	INSTITUTOS PÚBLICOS	FUNDO DE ESTABILIZAÇÃO TRIBUTÁRIO (FET) DO MINISTÉRIO DAS FINANÇAS	08-05-1997	
600015548	INSTITUTOS PÚBLICOS	FUNDO DE FOMENTO CULTURAL	05-11-1973	
600072509	INSTITUTOS PÚBLICOS	FUNDO DE GARANTIA FINANCEIRA DA JUSTIÇA	02-04-2002	
